,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
ZNF442,-0.54,-0.06,0,0.23,-0.48,1.47,-0.17,0,0.92,0.24,1.07,-0.2,-0.29,-0.94,-1.02,-0.48,0.04,0.41,0.49,0.22,0.57,-0.41,-0.81,0.24,0.3,0.43,-0.03,0.07
MAST1,-0.37,-1.09,-0.69,0.17,0.31,-0.01,-0.8,0.43,0.58,0.21,-0.27,-0.4,-1.67,-0.83,-0.64,-1.24,0.75,1.38,0.19,1.1,-0.53,0.41,-0.02,-0.04,-0.12,-0.41,0.39,-0.8
KLK11,-0.9,-1.01,1.45,-2.6,-1.4,-0.17,1.42,-0.56,-0.99,1.24,1.79,3.23,-1.2,2.03,-0.69,-0.99,-1.22,0.07,-0.92,-1.4,-1.62,1.55,-0.08,-0.38,0.18,3.62,0.12,-1.05
KCNC3,1.25,-0.74,-1.24,0.93,-0.39,0.35,-0.19,-0.14,-0.75,1.19,-0.47,1.7,0.48,-0.6,-0.75,-0.1,-0.12,-0.67,-0.24,0.2,-0.53,1.44,-0.42,-0.23,0.63,0.71,-0.38,1
IZUMO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAT2,0.24,-0.06,-0.56,0.15,0.21,1.77,-0.57,1.03,0.35,-0.01,0.4,0.68,-0.56,-0.81,-0.95,-0.28,1.04,0.69,0.01,-0.41,0.08,-0.04,-0.15,0.21,0.21,-0.29,-0.26,-0.4
CHMP6,0.16,-0.03,-0.38,0,0.17,0.56,-0.25,-0.53,0,-0.18,-0.07,-0.27,0.07,0.02,0.09,0.32,0.73,0.03,0.24,0.24,-0.79,0.01,0.26,0,0.03,-0.37,0.23,-0.2
FGF21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPACA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF565,0.51,0.22,-0.01,0.86,-0.5,0.84,0.19,-0.32,0.69,-0.01,-0.11,0.47,0.35,-0.32,-0.02,-0.36,-0.65,0.35,0.35,0.36,0.35,0.24,-0.22,-0.22,0.03,-0.17,-0.27,0.79
ZNF667,-0.57,0.78,-0.04,-0.5,0.68,-0.78,1.76,-0.53,-0.34,0.92,-0.87,0.7,0.31,-0.23,1.42,-0.31,-1.39,-0.8,-0.56,0,0.54,0.91,0.56,0.16,1.63,1.72,0.72,0.55
KIR3DL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRH,0.47,0,-0.29,-1.72,-0.39,-0.39,0.75,0.36,0,-0.2,0,0.07,0.14,0.84,0.31,1.37,-0.7,-0.51,-0.26,0,-0.32,0.17,-0.09,0.2,-0.05,2.08,0.34,-0.44
ACTN4,0.01,0.08,0.27,-0.34,0.01,0.73,-0.62,0.29,-0.32,0.11,0.01,0.21,-0.14,0.24,-0.47,-0.17,0.71,0.47,-0.02,-0.96,0.28,0.57,0.09,0.41,0.38,-0.29,0.95,-0.56
ATCAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDGFRP2,-0.74,0.35,-0.39,0.44,0.04,-0.34,-0.03,0.1,0,-0.49,0.06,-0.66,0.23,0.44,-0.1,-0.09,0.03,0,0.1,-0.12,0,0.09,-0.01,0.4,0.41,0,0,-0.12
PLIN3,-0.21,0.45,-0.77,0.05,0.32,-0.1,-0.52,-0.43,-0.23,-0.21,-0.45,-0.43,-0.22,0.91,0.71,-0.36,-0.21,0.36,0.13,-0.12,1.01,0.04,0.22,-0.21,-0.11,-0.48,0.71,-0.25
PRSS50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOT1L,-0.07,-0.44,0.36,-0.48,-0.01,-0.35,0.02,0.02,-0.51,-0.1,0.33,-0.39,0.09,0.38,0.35,0.07,0.26,0.34,0.04,-0.61,-0.1,0.07,0.03,-0.09,0.14,0.28,-0.18,-0.07
MRPL54,-0.73,0.56,-0.12,-0.06,0.39,-0.23,0.03,0.15,0.18,0.48,0.15,-0.14,-0.26,-0.2,-0.19,-0.2,-0.5,0.8,0.54,-0.01,0,0,0.26,-0.08,0.12,0.04,-0.35,-0.43
FUT5,1.88,2.96,-0.23,-0.56,-1.18,1.05,0.04,-1.25,-0.98,-0.58,1.33,-0.99,-0.4,0,-1.56,2.75,0.35,3.44,-0.34,0.04,1.52,-0.89,-0.93,-0.73,-0.33,2.15,-0.2,0.15
KISS1R,-0.17,-0.77,-0.09,-0.46,0.45,0.26,0.15,-0.06,0.45,0.54,0,-0.05,-0.02,0.26,0.73,0.14,0,-0.21,0.85,0.44,-0.84,0.25,0.04,0.2,-0.76,-0.66,0.23,-0.26
SLC5A5,0,-0.1,-0.13,0,-0.28,-0.17,0,0.18,0,-0.19,-0.01,-0.22,0.32,0.55,0,0.47,0,-0.1,-0.31,0,0,0,0,-0.16,0,0,0.09,0.16
IL12RB1,0,-0.11,0.03,-0.29,-0.02,0.07,-0.06,0.41,0.42,0.09,0.4,-0.14,-0.14,0.68,-0.52,0,0.01,-0.45,-0.02,0,-0.32,-0.12,0.01,-0.02,-0.27,-0.34,0.15,0.06
SYDE1,-0.41,-0.13,0.03,-0.75,0.44,-0.91,-0.21,-0.68,-0.39,0.43,-0.31,0.26,-0.25,0.71,0.63,-0.22,-0.51,-0.36,-0.24,0.16,-0.07,0.52,0,1.28,0.06,0,0.55,0.4
HPN,-0.39,-1.22,-1.32,0.81,-0.14,2.54,-1.91,0.84,0.33,-0.33,0.56,0.89,0.81,-2.17,-3.04,-0.4,1.54,2.08,1,-0.98,-2.4,0.33,-0.27,-0.28,-0.4,-0.53,-0.88,0.15
ZNF14,-0.26,0,0.16,0.38,-0.45,0.16,0.55,0,1.06,0.3,0.36,0.98,-0.48,-1.1,-0.85,-0.55,-1.04,-0.06,0.43,-0.27,-0.47,0.35,0.17,0.15,-0.19,0.4,0,-0.08
ACOX2,0.02,0,0,2.29,0.29,-0.01,-0.33,0,-0.48,-0.13,-1.82,0,3.16,-1.37,-0.36,-0.72,0,2.59,0.9,0,-1.05,-0.15,5.39,-0.17,0,-0.38,0,-0.21
LPAR2,-0.57,0.6,0.4,0.02,-0.18,0.82,-0.28,0.04,-0.27,-0.81,0.59,-0.29,0.61,0.61,0.2,0.53,0.2,0.35,0.58,-0.56,-0.57,-0.41,-0.15,0.07,-0.29,-0.57,0.17,-0.29
FBXO17,0,0.93,0.02,-0.92,0.1,2.6,1.06,-0.53,0,1.07,-0.62,0.37,-0.71,-0.02,0.64,-0.13,0,-0.84,-0.28,0.18,-0.12,0.92,0.24,0.6,0.44,0.73,0.43,1.38
FBN3,0.22,0.14,-0.46,-0.03,0.3,0.25,-0.09,0.11,0.23,0.57,0.09,-0.29,-0.44,-0.01,-0.17,-0.53,0.19,-0.54,0.24,1.42,-0.22,0.25,0.02,0.4,-0.6,-0.15,-0.08,-0.57
APC2,-1.16,0.32,-0.53,0.29,0.81,0.11,-0.14,0.92,0.15,0.43,-0.86,-0.54,0.6,0.24,0.01,-1.12,0.92,-0.86,0.74,0,0.98,0,-0.92,-0.33,0,0,0.81,-0.84
APC2,-0.43,0.11,-0.32,0.12,0,0.32,-1.4,-0.42,0,0.3,-0.13,-0.41,-0.07,-0.57,-0.26,-0.94,0.53,-0.47,0.05,0,0.64,0.66,0.22,-0.67,0.1,0.02,0.56,-0.57
SEZ6L2,-0.27,0.28,-1.1,1.94,0.04,1.35,-0.96,0,-1.48,0.2,2.31,0.42,1.1,-0.65,-0.59,-0.82,-1.31,1.58,-0.49,-1.82,0,0.82,-0.35,-0.4,0.96,-0.03,1.23,0.07
ARL5A,-0.18,0.25,-0.43,-0.28,-0.03,-0.39,0.23,-0.8,0.06,0.32,-0.2,0.23,0.11,0.75,0.53,0.01,0,-0.82,-0.41,0.39,0.45,0.2,0.21,-0.51,-0.19,0,-0.22,0.09
MDH1,0.11,1.05,0.73,0.68,0,0.1,0.06,0.14,0.39,0.06,0.28,0.29,0.4,-0.3,-0.04,0.14,-0.49,0.28,0.07,-0.28,0.23,-0.35,0.26,0.05,0.02,0.05,0.05,-0.03
ZFP36L2,-1.29,-0.76,0.88,-0.46,-0.28,-2.46,0.04,-0.93,1.05,0.65,0.04,-0.08,-0.29,0.99,0.06,-0.08,-0.27,-1.09,0.01,-0.34,1.51,0.74,0.3,0.62,0.43,0.61,0,0.23
CAPN13,-0.2,-0.51,-0.4,1.15,0.48,-1.65,-1.94,-0.29,-0.83,-0.74,0.26,-0.34,0.85,-0.66,-4.33,-1.4,-2.02,0.51,0.91,-0.7,-0.17,-0.57,2,-1.28,-0.18,0.1,1.05,-1.44
MARCO,0,-0.04,0.25,0,2.15,-1.65,0.41,0,0,-0.64,0.34,0.2,-0.06,0,0.92,0.32,0,-1.7,-0.26,0,0.97,-1.14,-0.59,-0.79,-1.1,-1.78,1.02,0.66
CXCR4,-0.4,-0.54,-1.21,1.51,-0.14,-2.86,-0.29,-1.82,0.36,-1.05,0.14,-0.38,1.55,1.05,-0.56,0.18,0.47,-0.84,-1.21,0.34,-0.34,0.18,-0.43,-0.66,-1.03,0,-0.17,-0.43
ERMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COQ10B,-0.03,0.64,-0.4,0.72,-0.24,-0.47,0.05,0,-0.04,-0.39,-0.67,0.04,0.17,-0.3,0.1,0.48,0.23,0.34,0.17,1.34,0.41,-0.23,0.71,-0.18,0.13,-0.33,0.48,-0.29
MATN3,0.08,-0.71,-1.29,1.36,0,-0.9,-0.89,-1.72,0.27,-0.59,-1.05,0.8,1.67,-0.33,-0.32,-0.54,-2.14,-0.46,-1.43,1.55,1.16,1.87,0.23,-0.29,2.11,0.24,1.01,1.26
HAS2,0.61,-0.23,-0.99,-0.18,1.75,0,-0.39,-0.68,1.01,-0.48,-0.94,1.52,-0.02,-0.17,0.21,-0.59,-1.01,-1.32,0,0.9,0.39,0.08,0.32,0.49,-0.4,0.2,1.22,0.89
SSFA2,1.06,0.42,0.12,0.49,0.04,-0.85,0.4,0.09,-0.07,-0.1,3.54,0.93,-0.02,-0.72,-0.23,1.43,-0.54,3.54,-0.7,-0.72,-0.11,-0.06,2.1,2.34,-0.02,0.85,0.29,-0.01
BOLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBA4A,-0.82,0.2,-0.17,0.73,-0.17,1.76,0,0.18,-0.01,-0.81,0.46,-0.21,-0.4,1.42,-1.19,0,2.96,1.22,0.58,-0.72,2.01,0.35,-0.01,0.3,0.9,-0.27,-0.39,-1.09
SLC2A13,0.53,1.12,-0.04,-0.86,0.53,0.29,0.66,-0.81,-0.43,0.03,-0.56,0.34,-0.58,0.57,0.21,-0.24,-0.82,-1.43,-1.45,0.38,2.02,0.12,-0.65,-0.23,-0.28,1.01,-0.2,-0.05
WNT10A,-0.29,-0.55,1.69,-1.45,0.01,-1.15,0.7,0.01,1.53,-0.04,1.32,0.29,-1.28,1.12,-0.77,1.49,0.28,-1.18,-0.23,0.51,-1.48,0.81,-0.69,1.53,0.39,2.15,-0.83,-0.12
WNT10A,-0.68,-0.74,-0.4,-1.37,-0.23,-1.32,0.57,-0.42,0,-0.17,1.21,0.41,-0.97,1.28,-0.58,1.25,0.48,-0.85,0.24,0,-0.71,0.67,-1.1,-0.51,0.82,0.77,-0.11,-1.05
ARPC2,0.01,0.21,-0.34,0.41,0.57,-1.08,-0.28,-0.34,-0.29,-0.32,-0.17,0,0.35,0.8,0.46,0.07,1.21,-0.46,-1.12,-0.18,1.02,-0.17,0.07,-0.33,0,-0.23,0.48,0
FAM82A1,0.19,0.04,0.41,-0.11,0.29,-1.02,0.32,0,0.67,0.32,0.24,0.62,-0.15,-0.28,0.49,-0.22,-0.74,-0.28,-0.73,0.66,-0.52,0.31,-0.2,0.07,-0.31,0.2,0.1,0.73
CPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP4K4,0.49,-0.24,0,-1.16,0.93,-0.98,0.53,-0.62,0.13,0.72,0.08,0.65,-0.14,0.57,1.64,0.02,0.03,-1.28,-0.65,0.62,0.78,0.99,0.4,0.39,-0.74,0.15,0.24,0.82
MSH6,0,0.15,-0.22,0.75,-0.19,0.48,-0.05,0.6,-0.21,-0.24,0.17,-0.33,0.11,-0.15,-0.54,0.01,-0.13,0.03,-0.41,-0.2,0.08,-0.22,-0.33,0,0.15,-0.07,-0.46,-0.21
SNRPG,-0.2,-0.08,-0.19,0.12,-0.1,-0.12,-0.21,0.11,0.57,0.02,-0.19,0.79,0.19,-0.41,-0.48,0.07,-0.2,0.11,0.35,0.31,0.61,-0.21,0.23,0,0.21,-0.21,-0.12,-0.22
7-Mar,-0.14,-0.33,-0.48,0.03,0.09,-0.91,0.07,0.45,-0.2,0.49,0.16,0.01,0.27,-0.19,0.74,0.5,0.87,-0.18,-0.66,0.7,-0.33,-0.03,-0.3,-0.12,-0.51,-0.4,-0.75,-0.41
MRPL53,-0.23,0.27,0.03,0.46,0,0.72,-0.09,-0.14,0.15,0.32,0.05,0.2,-0.16,-0.41,-0.58,-0.01,-0.1,0.69,0.27,-0.1,-0.32,-0.03,0.21,-0.13,0.05,-0.31,0.07,-0.22
MRPL19,-0.13,0.36,0.13,0.59,-0.14,0.02,0.05,-0.21,0.15,0.22,0.08,0.07,0.23,-0.44,-0.34,0.2,0.09,0.18,-0.38,0.26,0.48,-0.31,0,0.02,0.09,0.11,-0.07,0.02
DPP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHCGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUP35,0.05,-0.39,0.03,0.46,-0.22,-0.52,0.06,0.21,-0.01,0,0.23,0.23,0.12,-0.87,-0.56,-0.14,0.36,-0.46,0.3,0.29,-0.93,-0.15,0.19,0.01,-0.21,-0.05,-0.38,-0.24
SCN7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST10,-1.26,-0.04,0,0.67,0.06,0.51,-0.26,0.01,-1.17,-0.6,1.01,0.55,0.57,0.04,-0.16,1.29,2.12,1.38,0,0,-1.1,0.19,0.39,-0.01,0.24,-0.26,0.6,-0.59
NGEF,-0.68,-0.59,-1.22,1.74,-0.56,2.06,-0.67,0.93,-0.23,0.71,0.4,-0.02,0.84,0.41,-0.91,1.22,1.07,-0.4,0.18,0.4,-0.29,-0.29,-0.59,-1.34,0.04,-0.6,-1.71,0.7
SLC40A1,0.44,-0.14,-0.11,1.82,-0.56,0.48,0.49,-1.44,0.83,0.78,-0.16,1.24,0.25,-0.49,0.57,-0.76,-0.61,1.45,-1.13,0.29,0.51,0.1,-0.75,-0.46,0.87,0.16,1.21,0.69
CCT7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHA3,0.1,-0.27,-0.1,0.38,0.13,0.34,0.17,0.59,0.53,-0.02,0,0.5,0.42,-0.58,-0.01,0.24,0.39,-0.16,0.15,0.32,-0.83,0.04,0.24,0.18,0.01,0.04,-0.02,-0.04
CCT4,-0.13,0.11,0,0.35,-0.47,0,0,0.17,0.18,0,0.28,0.06,0.92,-0.05,-0.42,0.07,-0.27,0.03,-0.3,-0.48,-0.19,-0.28,0.34,-0.06,0.29,0.09,0.39,0
ASTL,0.73,-0.26,-0.49,0.03,0.5,0.22,-0.03,-0.1,0.18,0.79,0.22,0.18,0,-0.17,0.05,-0.15,0.26,-0.36,0.24,0.99,-0.64,0.33,0.19,-0.03,-0.83,-0.67,-0.2,-0.73
INSIG2,2.33,0.32,-0.91,1.71,-0.11,0,-0.57,-0.88,0.24,0,-0.25,0.22,0.47,-0.77,-0.41,0.85,-0.11,-1.16,-0.42,0.27,1.9,0.31,0.04,-0.29,-0.7,0.17,-0.97,-0.6
FBLN7,-0.1,-0.17,0.09,-0.97,-0.53,0,0.83,-0.81,1.44,0.57,-0.14,0.03,-0.79,0.21,0.07,0.69,0.69,0,0.03,0,-0.52,0.7,-0.07,1.08,0.01,0.69,0.56,-0.23
MSH2,0.01,-0.85,0.22,0.47,-0.32,0.11,0.06,0.44,-0.17,0.32,0,0.01,-0.12,-0.57,-0.46,-0.34,-0.13,-0.14,-0.15,-0.27,-0.71,-0.35,0.04,-0.16,-0.05,-0.32,-0.15,-0.44
CTLA4,0,-0.35,-1.05,-0.32,-0.96,-0.14,-0.31,-0.35,0,0.24,0.1,-0.2,0.2,2.05,-0.43,0.57,0.53,-0.96,-0.72,0,0.25,0.14,-0.72,-0.36,-0.84,0.39,-0.26,0.01
C2orf18,0.08,-0.34,-0.55,-0.21,-0.58,0.06,-0.69,-1,-0.11,-0.33,-0.11,-0.42,0.18,0.41,-0.24,0.11,0.39,0.96,0.43,-0.33,-0.46,-0.04,-0.05,0.03,-0.34,-0.75,0.61,-0.65
SLC5A6,1.02,1.29,0.9,0.58,-0.92,-0.12,-0.39,-1.67,-0.39,-0.12,0.33,-0.33,0.96,0.24,-0.49,1.44,0.17,0.1,0.93,-0.94,0.2,-0.42,0,-0.27,0.68,-0.47,-0.12,-0.03
PDE6D,-0.42,1.12,-0.29,0.68,0.05,0.28,-0.26,-0.39,0.42,-0.47,-0.28,0.1,0.33,-0.15,-0.17,0.23,0.59,0.23,0.04,0.13,-0.08,-0.29,0.15,0.1,0.71,-0.3,0.3,-0.01
SPTBN1,-0.49,0.2,1.81,-1.12,0.54,0,0.34,0.6,0.67,1.6,1.11,-0.57,-0.36,0.1,0.33,0.27,-0.1,-0.48,0.89,-0.07,-0.24,0.23,-0.18,0.98,-0.92,0.14,-0.57,-0.15
AFTPH,-0.03,-0.44,0.02,0.58,-0.13,0.73,-0.02,0.8,0.23,0,0.44,0.04,0.26,-0.8,-0.85,0.4,0.22,0,0.24,0,-0.37,-0.23,-0.37,0.03,0.01,0.06,-0.31,-0.5
MALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A4RG,-0.06,0.35,0.4,-0.47,-0.45,0.19,0.02,-0.41,-0.05,0.05,0.25,-0.62,-0.04,-0.01,-0.17,0.27,0.36,-0.37,0.36,-0.72,0.34,0.13,-0.53,-0.13,-0.32,-0.05,0.84,0
SLC2A4RG,-0.37,0.74,0.11,-0.33,0,0.22,0.33,-0.74,0.4,0.02,-0.02,-0.41,-0.33,-0.12,-0.28,0.06,0.44,-0.2,0.55,-0.69,0.28,0.08,-0.19,-0.06,0,0.12,0.87,0.07
C20orf24,0.72,0.84,-0.39,0,0.15,0.97,-0.38,-0.39,0.13,-0.53,0.33,-0.1,0.35,0.23,0.13,0.28,0.91,-0.25,0.59,0.19,0.19,-0.33,-0.13,-0.02,-0.1,0,0.27,-0.41
CHD6,0.83,-0.54,0.06,-0.29,-0.22,0.59,-0.32,0.59,0,-0.24,0.74,-0.49,0.16,-0.57,-0.83,0.08,0.89,-0.01,-0.14,0.64,0.67,-0.73,-0.49,-0.37,-0.38,-0.34,-0.87,-0.11
WISP2,1.24,0.41,0.63,1.56,1.56,-2.78,1.26,-2.38,0.58,1.19,0.87,-1.07,-1.2,2.21,1.31,1.45,0.05,-0.04,-1.65,-0.17,1.85,0.25,-2.07,-0.09,0.27,-1.27,0.77,0
MATN4,-0.74,0.1,0.21,-1.12,-0.08,-0.18,0,0.01,-0.48,0.17,-0.1,0,0.11,-0.46,-0.34,-0.81,-0.07,0,0.32,0.11,1.08,0,-0.2,0.14,0.6,0.27,-0.29,0
WFDC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGC4294,0.16,-1.35,-1.65,0.21,0.2,-1.72,1.02,0,-0.26,-1.78,-1.17,0.58,0.96,0.51,1.24,-0.91,-1.25,0,-2.08,0.19,0.48,1.12,0.74,-0.39,0.42,0.01,1.14,0.9
DEFB129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNPH,-0.71,2.31,0.14,-1.31,-0.74,0.06,0.57,-1.51,0,-1.75,2.11,0.18,1.88,0.17,0.28,0.93,4.24,-0.57,-1.12,-0.68,2.69,-0.09,-0.68,0.92,-0.11,1.92,0.18,-0.18
SMOX,0,-0.5,-0.2,-0.99,0.5,-0.25,0.02,-0.42,-0.2,0.47,0.06,-0.06,-0.3,0.41,0.92,0.13,0.33,-0.48,-0.06,0.14,-0.48,0.44,0.04,0.16,-0.46,-0.1,-0.13,-0.26
TRMT6,0.37,-0.47,-0.61,0.32,-0.04,0.12,-1.29,-0.14,-0.72,-0.27,0.58,-0.63,-0.04,-0.26,-0.32,0.04,-0.05,0.11,0.45,0.21,0.57,-0.28,0.33,-0.58,-0.56,-0.51,0.15,-0.78
BTBD3,0.68,-0.01,-0.45,0.53,0.07,-0.24,-0.28,-0.68,-0.52,0.47,0.6,-0.86,0.3,-0.21,0.07,-0.35,-0.7,-0.33,-1.07,0.48,0.93,-0.21,-0.35,-0.06,-0.99,0.58,-0.98,0
C20orf72,0.22,-0.45,-0.47,0.28,-0.09,-0.64,-0.74,-0.05,0.23,0.01,0.36,0.07,0.31,-0.37,-0.36,-0.31,0.28,-0.12,-0.05,0.03,-0.28,-0.32,-0.11,-0.22,-0.76,-0.48,-0.13,-0.67
NAA20,0.48,0.14,-0.47,0.59,-0.12,0.73,-0.4,0.08,0.14,-0.2,0,0.21,-0.12,-0.7,-0.71,-0.06,-0.51,0.49,-0.58,0.54,1.22,-0.08,0.25,-0.06,0.28,-0.33,0.32,-0.11
CEP250,-0.09,-0.15,-0.12,-0.68,0.01,0.21,-0.27,0.2,0.02,-0.53,0.57,-0.32,-0.26,0.46,-0.2,0.1,-0.42,0.35,0.61,-0.49,0.26,-0.11,-0.3,-0.18,0.13,-0.29,0,-0.09
NFS1,0.34,-0.29,0.49,0.36,-0.41,1.06,-0.22,0.04,-0.16,0.03,-0.02,0.2,0.31,-0.3,-0.6,0,0.4,-0.11,1.21,-0.42,0.17,-0.12,-0.18,-0.38,0.53,-0.06,-0.01,0.4
TMPRSS15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCT8,-0.08,0.32,-0.13,0.86,-0.2,0,0.13,0,-0.24,-0.3,-0.32,0.19,0.37,-0.5,-0.11,0.11,-0.13,0.26,0.08,-0.24,0.34,-0.81,0.16,-0.19,0.16,-0.01,0.17,-0.07
SYNJ1,0.13,0.28,-0.26,-0.46,0.29,0.69,-0.76,0,0.66,0.45,0.23,-0.29,0.23,0.43,0.53,-0.04,-0.38,0.24,-0.35,-0.46,0.28,0.08,-0.09,0.1,-0.68,-0.4,0.2,-0.01
MRPS6,-0.05,0.3,-0.1,1.18,-0.39,-0.2,-0.12,0.15,0.35,-0.06,-0.55,-0.07,0.12,0.01,-0.28,-0.01,-0.6,-0.23,-0.01,-0.15,0.03,0.29,-0.1,-0.27,0.03,-0.23,-0.17,0.81
MFAP2,-0.02,-0.83,-1.37,0.31,0.56,-2.51,0.61,-1.54,0.01,-0.45,-1.55,0.27,1.47,1.6,1.34,0.31,-0.38,-0.05,-1.19,0.26,0.08,1.18,0.71,-0.17,1.4,0.02,1.91,1.05
CTSE,-0.88,1.07,0.15,0,0.62,-0.38,-0.82,0.02,0,0.24,0.17,-0.39,-0.1,-0.06,-0.12,-0.22,0,-0.05,0.57,0,-0.26,0.24,-0.16,-0.54,0,0.07,0,0.45
B3GALT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GALT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWP2,-0.47,-0.13,0.19,-0.12,0.14,-0.09,-0.21,-0.03,-0.28,-0.39,-0.11,-0.44,0.27,0.71,0,0.33,0.45,0.2,0.25,-0.81,0.25,-0.18,-0.15,0.01,0.05,-0.23,0.38,0
SUMO3,-0.16,0.39,0,0.33,0,-0.04,0,0,0.24,0.2,-0.78,0,-0.05,-0.12,-0.49,0.02,0.23,-0.31,0.39,-0.41,0.01,0,0.19,0,0,-0.29,0.42,0
RSPH1,-0.6,-0.93,-0.57,1.14,-0.86,1.31,-1.11,1.01,-0.31,-0.15,-0.67,0.94,0.82,-3.23,-4.01,-0.86,1.24,0.76,0.99,-0.78,-1.06,-1.44,0.5,0.34,1.7,-0.36,0.46,0.35
BCL2L13,0.43,0.32,0.42,-0.82,0.01,-0.3,-0.13,-0.16,0.2,0.23,0,-0.48,0,0.32,0.13,0.04,-0.02,0.37,0.06,0.66,0.53,-0.06,0.04,-0.01,-0.82,0.01,-0.35,-0.15
DGCR14,0.12,-0.1,0.28,-0.49,0.09,-0.23,-0.05,-0.46,-0.11,-0.1,-0.04,-0.37,-0.35,0.5,0.32,0.04,-0.24,0.24,0.04,0,-0.08,0,0.34,0.32,-0.34,-0.24,0.04,-0.04
TXNRD2,1.79,0,0.5,0,0,0.16,0,-1.53,-0.09,-0.61,-0.52,-0.57,0.41,0.42,-0.65,0,0.56,1.3,0,0,-1.21,0,0.35,0.36,0,0,0,0
PI4KA,0,0.32,1,-0.27,0,0,0.33,-0.43,-0.49,0,0.63,-0.38,-0.23,0.71,0.69,0.52,0,1.32,0,-0.04,-0.13,0.1,0,0.09,-0.03,0.58,-0.23,0.26
RAB36,-0.46,-1.75,-0.36,0.34,-1.11,1.24,-0.62,-1.64,1.06,0.08,-2.02,-0.9,1.22,-0.8,-0.84,-0.4,0.65,0.39,0.59,-0.35,-0.34,0.17,0.95,-0.5,0.63,0.02,-0.2,-1.02
CRYBA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS2L1,0.03,0.62,0.25,0.41,-0.59,-0.1,-0.21,0,0,0.12,0,-0.18,0.12,0,0.08,0.36,0,1.86,-0.13,0,-0.18,-0.45,0,0.6,0.2,0,0.68,-0.64
CTPS2,0.78,-0.32,-0.34,0.24,-0.4,0.95,-0.92,-0.53,0.01,-0.38,0.69,-0.17,0.49,-0.69,-0.56,0.3,2,0.43,-0.34,0.79,0.15,-0.46,-0.46,-0.1,-0.12,-0.61,-0.28,-0.29
RNF185,-0.24,0.72,0.37,0.54,-0.16,0.16,-0.1,0,0.27,-0.18,-0.4,-0.1,-0.35,-0.21,-0.49,-0.22,-0.09,0.65,0.29,0.53,0.37,-0.01,-0.17,0.44,0,-0.2,-0.12,-0.05
